name,wmo-id,bom-id,tz,stn-name,stn-height,type,lat,lon,forecast-district-id,description,apparent_temp,delta_t,gust_kmh,wind_gust_spd,air_temperature,dew_point,pres,msl_pres,qnh_pres,rel-humidity,vis_km,wind_dir,wind_dir_deg,wind_spd_kmh,wind_spd,rainfall,rainfall_24hr,maximum_air_temperature,minimum_air_temperature,maximum_gust_spd,maximum_gust_kmh,maximum_gust_dir,cloud,cloud_oktas,cloud_base_m,cloud_type_id,weather,rain_hour,rain_ten
units,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Celsius,Celsius,km/h,knots,Celsius,Celsius,hPa,hPa,hPa,%,km,nan,deg,km/h,knots,mm,mm,Celsius,Celsius,knots,km/h,nan,nan,nan,m,nan,nan,mm,mm
MOUNT HOTHAM AIRPORT,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),13.4,5.2,19.0,10.0,16.6,6.7,1014.9,1014.9,1017.3,52.0,30.0,E,94.0,13.0,7.0,0.0,0.0,17.4,2.8,13.0,24.0,ESE,Clear,0.0,,,,,
MOUNT MOORNAPA,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),13.3,2.5,11.0,6.0,14.6,9.8,,,,73.0,,SE,135.0,7.0,4.0,0.0,0.2,16.2,7.8,9.0,17.0,SE,,,,,,,
MOUNT NOWA NOWA,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),14.9,3.2,4.0,2.0,15.7,9.6,,,,67.0,,SE,144.0,4.0,2.0,0.0,0.6,15.8,10.7,8.0,15.0,SSE,,,,,,,
MOUNT WILLIAM,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),9.0,2.4,30.0,16.0,13.4,9.0,,,,75.0,,SW,220.0,22.0,12.0,0.0,0.0,14.5,2.9,23.0,43.0,SW,,,,,,,
NHILL AERODROME,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),20.2,9.4,28.0,15.0,25.0,7.2,1015.6,1015.6,1016.0,32.0,,SW,231.0,22.0,12.0,0.0,0.0,26.4,6.5,24.0,44.0,SSW,,,,,,,
NILMA NORTH (WARRAGUL),95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),19.5,7.5,2.0,1.0,20.8,5.9,,,,37.0,,N,354.0,2.0,1.0,0.0,0.0,21.9,5.4,9.0,17.0,S,,,,,,,
OMEO,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),13.9,5.9,28.0,15.0,19.0,7.8,1014.4,1014.4,1016.4,48.0,,SE,146.0,24.0,13.0,0.0,0.2,19.6,7.6,20.0,37.0,SE,,,,,,,
ORBOST,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),15.7,4.0,17.0,9.0,17.7,10.1,1017.8,1017.8,,61.0,,SSE,162.0,11.0,6.0,0.0,0.0,18.9,12.1,9.0,17.0,SSE,,,,,,,
OUYEN (POST OFFICE),95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),12.5,5.3,,,16.4,5.4,,,,48.0,50.0,S,180.0,15.0,8.0,0.0,0.0,,,,,,Clear,0.0,2500.0,,Fine,,
PORT FAIRY AWS,95936,086338,Australia/Melbourne,MELBOURNE (OLYMPIC PARK),7.53,AWS,-37.8255,144.9816,VIC_PW007,Melbourne (Olympic Park),16.1,3.3,30.0,16.0,19.5,13.8,1017.7,1017.7,,69.0,,SW,230.0,24.0,13.0,0.0,0.0,20.3,10.7,18.0,33.0,WSW,,,,,,,
